Order_ID,Order_Date,Ship_Date,Category,Product,Region,City,Segment,Ship_Mode,Quantity,Sales,Discount,Profit
ORD00025,2024-10-16,2024-10-21,Electronics,Keyboard,South,Hyderabad,Corporate,First Class,1,3173.03,0.15,433.04
ORD00026,2024-06-10,2024-06-17,Home,Cookware,South,Chennai,Consumer,Standard,7,5797.51,0.3,-57.98
ORD00027,2024-02-05,2024-02-07,Books,Magazine,North,Delhi,Corporate,First Class,4,10512.99,0.05,2540.48
ORD00028,2024-12-05,2024-12-06,Home,Lamp,East,Patna,Consumer,First Class,1,3405.74,0.2,135.81
ORD00029,2024-12-17,2024-12-23,Electronics,Laptop,South,Chennai,Corporate,Same Day,5,15515.92,0.3,-22.09
ORD00030,2024-03-07,2024-03-13,Fashion,T-Shirt,North,Lucknow,Corporate,Second Class,7,29266.1,0.0,2362.04
ORD00031,2024-10-06,2024-10-07,Books,Magazine,West,Ahmedabad,Corporate,Second Class,1,736.99,0.3,81.65
ORD00032,2024-04-17,2024-04-23,Books,Textbook,North,Chandigarh,Consumer,Standard,6,27090.67,0.0,7037.75
ORD00033,2024-03-31,2024-04-04,Fashion,Watch,West,Ahmedabad,Consumer,Second Class,3,13931.0,0.05,3175.17
ORD00034,2024-01-20,2024-01-27,Fashion,Jacket,South,Chennai,Corporate,Second Class,3,11938.19,0.0,1868.43
ORD00035,2024-06-17,2024-06-20,Home,Lamp,East,Bhubaneswar,Consumer,First Class,4,5080.13,0.3,-159.38
ORD00036,2024-05-13,2024-05-15,Fashion,Watch,West,Ahmedabad,Home Office,First Class,6,28250.03,0.0,7215.27
ORD00037,2024-10-22,2024-10-24,Electronics,Laptop,West,Pune,Corporate,Standard,6,13768.14,0.2,43.08
ORD00038,2024-11-15,2024-11-18,Books,Novel,South,Chennai,Home Office,Standard,7,3751.12,0.3,428.21
ORD00039,2024-03-06,2024-03-08,Fashion,Watch,East,Patna,Corporate,Same Day,7,12359.75,0.3,-134.34
ORD00040,2024-10-23,2024-10-28,Home,Chair,East,Bhubaneswar,Home Office,First Class,1,1658.6,0.05,233.83
ORD00041,2024-02-13,2024-02-16,Books,Comics,West,Ahmedabad,Home Office,First Class,4,10614.54,0.3,-382.78
ORD00042,2024-08-31,2024-09-05,Electronics,Smartphone,East,Kolkata,Consumer,Same Day,4,3629.2,0.0,468.05
ORD00043,2024-12-18,2024-12-19,Books,Magazine,South,Hyderabad,Consumer,Same Day,7,18011.07,0.05,1522.19
ORD00044,2024-08-25,2024-08-31,Home,Vacuum,West,Mumbai,Home Office,First Class,4,18415.42,0.0,3154.42
ORD00045,2024-08-18,2024-08-21,Books,Magazine,West,Ahmedabad,Consumer,First Class,8,36052.79,0.3,3688.16
ORD00046,2024-06-20,2024-06-23,Sports,Dumbbell,South,Chennai,Home Office,Standard,8,4575.36,0.1,351.84
ORD00047,2024-06-18,2024-06-23,Home,Vacuum,South,Chennai,Corporate,Same Day,3,10772.44,0.0,1755.62
ORD00048,2024-01-04,2024-01-07,Electronics,Smartphone,West,Pune,Corporate,Same Day,1,4312.31,0.2,241.82
ORD00049,2024-06-21,2024-06-27,Books,Magazine,South,Chennai,Home Office,Same Day,4,6040.36,0.15,65.27
ORD00050,2024-01-14,2024-01-15,Home,Lamp,South,Hyderabad,Home Office,Same Day,1,4553.26,0.2,422.9
ORD00051,2024-06-21,2024-06-28,Home,Lamp,South,Bengaluru,Corporate,First Class,5,10098.49,0.05,1473.77
ORD00052,2024-06-28,2024-06-30,Books,Biography,North,Chandigarh,Home Office,Standard,1,3795.32,0.0,1062.62
ORD00053,2024-12-08,2024-12-09,Electronics,Laptop,South,Bengaluru,Home Office,Second Class,1,3182.41,0.05,255.37
ORD00054,2024-02-25,2024-03-01,Books,Biography,East,Kolkata,Consumer,First Class,2,7866.8,0.05,1950.53
ORD00055,2024-05-04,2024-05-05,Sports,Dumbbell,West,Ahmedabad,Home Office,First Class,4,2259.13,0.3,217.13
ORD00056,2024-06-23,2024-06-24,Sports,Football,North,Chandigarh,Corporate,Same Day,7,23627.12,0.0,4281.05
ORD00057,2024-09-24,2024-09-30,Electronics,Monitor,East,Patna,Corporate,Same Day,8,28760.65,0.15,1156.97
ORD00058,2024-08-18,2024-08-20,Books,Comics,East,Bhubaneswar,Corporate,Same Day,4,16750.04,0.0,2274.42
ORD00059,2024-06-23,2024-06-26,Fashion,T-Shirt,West,Pune,Home Office,First Class,3,7620.72,0.1,1444.63
ORD00060,2024-05-03,2024-05-09,Sports,Football,South,Bengaluru,Corporate,Same Day,4,14625.43,0.15,1697.07
ORD00061,2024-10-24,2024-10-27,Books,Novel,North,Chandigarh,Corporate,First Class,4,8564.5,0.05,995.55
ORD00062,2024-04-08,2024-04-11,Books,Magazine,East,Bhubaneswar,Consumer,Second Class,8,12003.19,0.1,913.53
ORD00063,2024-07-03,2024-07-05,Home,Vacuum,West,Pune,Corporate,Standard,5,24532.26,0.05,2802.79
ORD00064,2024-11-22,2024-11-29,Sports,Cricket Bat,East,Kolkata,Corporate,Standard,1,2856.12,0.3,339.36
ORD00065,2024-05-09,2024-05-16,Electronics,Keyboard,East,Bhubaneswar,Corporate,Standard,8,18514.0,0.05,4593.31
ORD00066,2024-02-13,2024-02-15,Electronics,Monitor,West,Mumbai,Consumer,Same Day,1,928.29,0.2,157.65
ORD00067,2024-10-28,2024-11-01,Sports,Tennis Racket,South,Hyderabad,Corporate,Standard,7,16537.29,0.15,1066.17
ORD00068,2024-03-29,2024-04-03,Sports,Football,South,Hyderabad,Consumer,Second Class,4,5881.21,0.0,655.23
ORD00069,2024-05-24,2024-05-30,Electronics,Monitor,West,Ahmedabad,Corporate,Standard,8,12784.36,0.05,1439.79
ORD00070,2024-05-16,2024-05-23,Home,Cookware,South,Chennai,Consumer,Standard,2,5627.8,0.3,-226.25
ORD00071,2024-12-24,2024-12-28,Electronics,Smartphone,East,Patna,Corporate,Same Day,5,11539.68,0.15,1647.12
ORD00072,2024-12-11,2024-12-18,Books,Novel,North,Chandigarh,Home Office,Standard,6,18586.95,0.0,1826.45
ORD00073,2024-04-02,2024-04-07,Fashion,Watch,North,Delhi,Corporate,Same Day,8,21528.21,0.15,4051.92
ORD00074,2024-06-17,2024-06-21,Electronics,Monitor,East,Bhubaneswar,Home Office,Same Day,6,10446.48,0.0,2627.78
ORD00075,2024-07-25,2024-08-01,Fashion,Jacket,North,Chandigarh,Home Office,Standard,2,3419.36,0.1,181.86
ORD00076,2024-11-16,2024-11-20,Sports,Dumbbell,West,Mumbai,Consumer,Second Class,4,10754.04,0.2,1411.88
ORD00077,2024-11-18,2024-11-23,Fashion,Watch,South,Chennai,Consumer,Second Class,8,35424.51,0.15,1037.41
ORD00078,2024-03-01,2024-03-07,Fashion,Watch,North,Lucknow,Consumer,Same Day,7,4531.83,0.0,780.79
ORD00079,2024-03-15,2024-03-19,Fashion,Watch,East,Bhubaneswar,Consumer,Second Class,8,39241.39,0.05,5743.26
ORD00080,2024-10-27,2024-11-01,Electronics,Headphones,West,Pune,Home Office,Same Day,5,20693.19,0.1,3625.66
ORD00081,2024-06-13,2024-06-20,Home,Lamp,West,Pune,Consumer,Second Class,6,17095.22,0.2,947.79
ORD00082,2024-07-14,2024-07-18,Sports,Dumbbell,South,Chennai,Home Office,Second Class,1,1727.25,0.15,252.26
ORD00083,2024-08-21,2024-08-22,Books,Novel,South,Hyderabad,Home Office,Second Class,6,26247.37,0.15,654.67
ORD00084,2024-02-11,2024-02-18,Books,Textbook,North,Chandigarh,Corporate,Same Day,5,9125.47,0.3,86.66
ORD00085,2024-04-26,2024-05-02,Fashion,Jacket,North,Lucknow,Consumer,Same Day,2,2653.79,0.3,303.03
ORD00086,2024-01-29,2024-02-01,Electronics,Laptop,West,Mumbai,Corporate,First Class,5,22682.18,0.0,3286.08
ORD00087,2024-02-10,2024-02-15,Books,Textbook,South,Hyderabad,Corporate,Second Class,7,20415.18,0.05,1816.88
ORD00088,2024-01-05,2024-01-12,Books,Magazine,South,Bengaluru,Corporate,First Class,8,26095.54,0.15,1463.06
ORD00089,2024-08-05,2024-08-11,Sports,Cricket Bat,North,Chandigarh,Corporate,Same Day,6,29644.37,0.1,4677.52
ORD00090,2024-05-31,2024-06-06,Fashion,Jeans,West,Pune,Corporate,Standard,2,2677.17,0.2,138.66
ORD00091,2024-05-26,2024-06-02,Books,Biography,North,Lucknow,Consumer,First Class,1,4570.96,0.3,134.14
ORD00092,2024-06-07,2024-06-14,Home,Vacuum,East,Patna,Corporate,Standard,3,9646.77,0.3,571.75
ORD00093,2024-03-08,2024-03-15,Sports,Yoga Mat,South,Bengaluru,Home Office,First Class,5,8841.26,0.15,354.78
ORD00094,2024-05-31,2024-06-06,Sports,Tennis Racket,East,Kolkata,Corporate,Standard,5,22937.17,0.15,4552.5
ORD00095,2024-07-21,2024-07-22,Books,Novel,South,Bengaluru,Corporate,Standard,7,33900.26,0.2,1801.97
ORD00096,2024-04-29,2024-05-03,Books,Biography,East,Patna,Consumer,First Class,7,29033.22,0.1,1500.12
ORD00097,2024-02-29,2024-03-02,Sports,Cricket Bat,North,Lucknow,Consumer,Standard,8,36520.49,0.1,5837.72
ORD00098,2024-07-08,2024-07-14,Fashion,Jacket,North,Delhi,Home Office,Same Day,4,17835.38,0.05,2367.28
ORD00099,2024-05-23,2024-05-24,Sports,Cricket Bat,West,Ahmedabad,Home Office,First Class,2,8403.45,0.2,517.85
ORD00100,2024-11-26,2024-11-29,Home,Lamp,West,Mumbai,Consumer,Same Day,6,4061.41,0.3,14.08
ORD00101,2024-01-11,2024-01-12,Fashion,Jeans,North,Chandigarh,Corporate,Second Class,2,6762.58,0.3,391.54
ORD00102,2024-03-16,2024-03-23,Home,Chair,South,Bengaluru,Home Office,Standard,4,12058.56,0.05,1455.61
ORD00103,2024-01-14,2024-01-16,Fashion,Jeans,South,Hyderabad,Consumer,First Class,5,20164.33,0.0,4279.1
ORD00104,2024-09-26,2024-09-27,Home,Chair,East,Kolkata,Home Office,Standard,3,4421.29,0.05,899.04
ORD00105,2024-01-23,2024-01-29,Books,Comics,East,Patna,Home Office,First Class,2,4739.25,0.05,1156.77
ORD00106,2024-08-15,2024-08-16,Books,Novel,North,Chandigarh,Consumer,First Class,7,15722.79,0.0,2799.5
ORD00107,2024-06-15,2024-06-19,Sports,Cricket Bat,North,Delhi,Home Office,First Class,5,15983.62,0.2,1433.27
ORD00108,2024-10-09,2024-10-15,Books,Magazine,West,Mumbai,Consumer,Same Day,2,8586.81,0.3,906.26
ORD00109,2024-08-06,2024-08-09,Books,Textbook,West,Pune,Home Office,First Class,8,16911.24,0.3,-862.18
ORD00110,2024-07-09,2024-07-16,Fashion,Jeans,West,Mumbai,Consumer,Standard,2,8385.01,0.0,1395.06
ORD00111,2024-08-04,2024-08-11,Sports,Tennis Racket,East,Patna,Home Office,Standard,2,4343.76,0.3,513.55
ORD00112,2024-09-03,2024-09-05,Fashion,Watch,East,Bhubaneswar,Consumer,First Class,2,5948.02,0.05,511.21
ORD00113,2024-11-14,2024-11-19,Sports,Yoga Mat,North,Chandigarh,Home Office,Standard,4,16298.65,0.2,2850.79
ORD00114,2024-06-28,2024-06-29,Sports,Yoga Mat,North,Delhi,Consumer,Second Class,5,17864.77,0.1,3828.55
ORD00115,2024-08-02,2024-08-06,Sports,Dumbbell,North,Delhi,Corporate,Second Class,1,640.44,0.2,14.75
ORD00116,2024-11-12,2024-11-13,Fashion,Shoes,East,Patna,Home Office,Standard,2,8880.08,0.05,767.97
ORD00117,2024-02-28,2024-03-02,Fashion,Jacket,West,Pune,Corporate,Standard,8,17504.66,0.05,3605.76
ORD00118,2024-01-29,2024-01-30,Fashion,Watch,West,Ahmedabad,Consumer,First Class,5,2090.02,0.15,421.95
ORD00119,2024-03-30,2024-04-01,Home,Vacuum,East,Bhubaneswar,Corporate,Second Class,6,4655.55,0.15,718.83
ORD00120,2024-08-23,2024-08-24,Sports,Tennis Racket,East,Kolkata,Corporate,Same Day,7,30355.28,0.0,5076.74
ORD00121,2024-11-12,2024-11-16,Sports,Dumbbell,West,Pune,Home Office,First Class,2,4288.31,0.1,276.06
ORD00122,2024-06-07,2024-06-13,Electronics,Monitor,North,Delhi,Corporate,Second Class,7,21186.08,0.2,-90.48
ORD00123,2024-06-27,2024-06-30,Fashion,Jeans,North,Lucknow,Home Office,Second Class,2,5493.81,0.05,1297.55
ORD00124,2024-12-01,2024-12-02,Home,Mixer,South,Chennai,Consumer,Same Day,4,4131.18,0.05,855.33
ORD00125,2024-08-13,2024-08-14,Books,Magazine,West,Ahmedabad,Corporate,Same Day,6,26090.31,0.3,-176.69
ORD00126,2024-07-07,2024-07-14,Fashion,Shoes,North,Chandigarh,Corporate,Standard,2,3379.92,0.15,42.32
ORD00127,2024-06-13,2024-06-18,Electronics,Keyboard,West,Pune,Corporate,Second Class,1,2358.72,0.2,260.33
ORD00128,2024-12-28,2025-01-01,Electronics,Monitor,North,Chandigarh,Corporate,Second Class,2,5243.67,0.05,329.45
ORD00129,2024-11-19,2024-11-25,Fashion,Shoes,East,Bhubaneswar,Corporate,Standard,7,27422.02,0.3,1359.51
ORD00130,2024-11-04,2024-11-11,Fashion,T-Shirt,West,Pune,Consumer,First Class,5,18369.61,0.3,2257.29
ORD00131,2024-03-07,2024-03-12,Electronics,Keyboard,South,Chennai,Home Office,Standard,5,24224.72,0.3,1512.28
ORD00132,2024-12-16,2024-12-21,Fashion,Watch,West,Ahmedabad,Consumer,Same Day,6,24619.72,0.3,1737.32
ORD00133,2024-09-05,2024-09-07,Sports,Yoga Mat,North,Chandigarh,Consumer,Second Class,5,5326.31,0.05,656.98
ORD00134,2024-07-11,2024-07-13,Home,Mixer,East,Kolkata,Consumer,Second Class,1,3377.26,0.2,20.97
ORD00135,2024-08-15,2024-08-20,Sports,Cricket Bat,West,Mumbai,Corporate,Same Day,7,13640.46,0.3,-306.83
ORD00136,2024-10-19,2024-10-23,Home,Chair,South,Chennai,Corporate,First Class,8,36312.61,0.05,4668.65
ORD00137,2024-01-27,2024-02-02,Books,Magazine,West,Mumbai,Corporate,First Class,4,16184.18,0.05,3715.89
ORD00138,2024-09-19,2024-09-21,Sports,Football,North,Chandigarh,Corporate,Standard,2,7725.92,0.1,926.06
ORD00139,2024-07-16,2024-07-17,Home,Lamp,East,Kolkata,Corporate,Second Class,7,3189.43,0.2,174.76
ORD00140,2024-08-29,2024-09-04,Electronics,Headphones,North,Lucknow,Consumer,Same Day,6,23991.76,0.05,1503.34
ORD00141,2024-11-07,2024-11-12,Books,Magazine,North,Delhi,Corporate,Standard,1,1428.43,0.05,235.35
ORD00142,2024-08-22,2024-08-23,Fashion,Jeans,East,Kolkata,Consumer,Same Day,1,1344.51,0.3,119.37
ORD00143,2024-11-10,2024-11-13,Sports,Tennis Racket,North,Lucknow,Consumer,Same Day,4,14596.05,0.1,1690.92
ORD00144,2024-07-17,2024-07-20,Home,Mixer,East,Kolkata,Corporate,Standard,1,2074.18,0.15,28.43
ORD00145,2024-03-09,2024-03-10,Fashion,T-Shirt,East,Kolkata,Corporate,First Class,2,7806.41,0.3,634.94
ORD00146,2024-08-22,2024-08-23,Home,Lamp,West,Ahmedabad,Corporate,Second Class,3,12285.57,0.0,2742.25
ORD00147,2024-01-19,2024-01-26,Electronics,Smartphone,North,Chandigarh,Home Office,Second Class,5,13369.21,0.2,998.41
ORD00148,2024-07-23,2024-07-29,Fashion,Shoes,North,Lucknow,Corporate,Same Day,6,9068.64,0.1,1064.57
ORD00149,2024-02-12,2024-02-18,Fashion,Jeans,West,Ahmedabad,Corporate,Standard,8,15706.12,0.2,523.71
ORD00150,2024-05-31,2024-06-03,Books,Magazine,South,Hyderabad,Corporate,Same Day,5,8709.07,0.0,1267.9
ORD00151,2024-08-10,2024-08-13,Home,Lamp,East,Bhubaneswar,Home Office,Standard,1,3688.71,0.1,564.26
ORD00152,2024-12-13,2024-12-20,Electronics,Monitor,East,Patna,Corporate,Standard,3,14320.17,0.05,3218.23
ORD00153,2024-03-19,2024-03-25,Home,Mixer,South,Hyderabad,Corporate,First Class,6,11629.94,0.2,-157.27
ORD00154,2024-05-22,2024-05-24,Fashion,Jacket,North,Lucknow,Consumer,Standard,3,8224.22,0.15,558.24
ORD00155,2024-04-19,2024-04-24,Home,Lamp,West,Ahmedabad,Corporate,Same Day,2,2913.06,0.1,497.57
ORD00156,2024-02-14,2024-02-21,Home,Mixer,South,Bengaluru,Home Office,First Class,8,8230.0,0.3,156.55
ORD00157,2024-07-04,2024-07-09,Fashion,T-Shirt,East,Bhubaneswar,Consumer,Standard,3,10850.05,0.3,624.31
ORD00158,2024-10-09,2024-10-11,Home,Vacuum,South,Chennai,Home Office,Standard,1,1932.3,0.2,103.92
ORD00159,2024-02-07,2024-02-09,Electronics,Headphones,West,Ahmedabad,Corporate,Standard,8,21786.71,0.15,3696.5
ORD00160,2024-01-29,2024-02-05,Books,Comics,East,Kolkata,Consumer,Second Class,3,11656.06,0.05,1649.61
ORD00161,2024-02-10,2024-02-13,Fashion,Jeans,South,Chennai,Consumer,First Class,4,7443.64,0.2,1183.43
ORD00162,2024-12-03,2024-12-08,Home,Cookware,North,Lucknow,Home Office,First Class,3,9122.04,0.2,98.87
ORD00163,2024-04-17,2024-04-24,Sports,Football,North,Delhi,Home Office,Same Day,1,4753.02,0.2,156.52
ORD00164,2024-12-16,2024-12-20,Sports,Football,West,Ahmedabad,Corporate,Same Day,5,16405.77,0.1,2076.79
ORD00165,2024-03-14,2024-03-17,Electronics,Laptop,South,Chennai,Home Office,First Class,7,17670.84,0.05,2174.19
ORD00166,2024-08-18,2024-08-20,Fashion,Jacket,South,Chennai,Consumer,Standard,2,3463.51,0.15,102.19
ORD00167,2024-10-22,2024-10-28,Electronics,Headphones,West,Ahmedabad,Corporate,Second Class,7,9741.88,0.05,2120.76
ORD00168,2024-09-15,2024-09-19,Home,Lamp,West,Pune,Consumer,Second Class,5,12936.89,0.0,3480.63
ORD00169,2024-05-26,2024-05-31,Sports,Yoga Mat,North,Delhi,Consumer,Standard,5,12877.46,0.3,830.65
ORD00170,2024-01-27,2024-02-01,Books,Textbook,East,Patna,Home Office,Second Class,6,23199.07,0.1,905.89
ORD00171,2024-11-15,2024-11-21,Fashion,Watch,East,Kolkata,Home Office,Standard,7,18342.99,0.2,659.32
ORD00172,2024-04-11,2024-04-16,Home,Mixer,West,Pune,Home Office,Same Day,6,17265.56,0.1,3124.95
ORD00173,2024-03-17,2024-03-22,Sports,Football,North,Delhi,Home Office,Second Class,3,10875.72,0.15,1184.0
ORD00174,2024-10-30,2024-11-02,Fashion,Watch,East,Kolkata,Home Office,Same Day,7,34684.69,0.3,3417.15
ORD00175,2024-10-25,2024-10-28,Sports,Yoga Mat,West,Mumbai,Home Office,Standard,6,10739.7,0.0,2963.94
ORD00176,2024-09-25,2024-10-01,Sports,Dumbbell,East,Patna,Home Office,Same Day,4,14650.88,0.2,1114.78
ORD00177,2024-03-18,2024-03-22,Home,Vacuum,North,Lucknow,Home Office,Second Class,2,2231.53,0.15,151.16
ORD00178,2024-06-15,2024-06-21,Books,Magazine,West,Ahmedabad,Corporate,Same Day,1,3587.72,0.2,77.02
ORD00179,2024-12-14,2024-12-20,Fashion,Jeans,West,Ahmedabad,Home Office,First Class,6,16932.67,0.3,1429.08
ORD00180,2024-06-01,2024-06-08,Sports,Dumbbell,South,Bengaluru,Corporate,Second Class,5,14394.08,0.05,3502.04
ORD00181,2024-07-13,2024-07-17,Books,Biography,West,Pune,Corporate,Second Class,5,7906.95,0.2,911.86
ORD00182,2024-09-02,2024-09-04,Fashion,T-Shirt,East,Patna,Consumer,First Class,2,3725.09,0.15,507.34
ORD00183,2024-04-25,2024-05-01,Sports,Yoga Mat,South,Bengaluru,Consumer,Standard,4,5455.19,0.3,605.73
ORD00184,2024-10-08,2024-10-10,Electronics,Monitor,East,Patna,Corporate,Same Day,8,5460.92,0.05,306.01
ORD00185,2024-04-28,2024-05-03,Books,Textbook,East,Bhubaneswar,Home Office,Standard,5,16501.55,0.0,3472.91
ORD00186,2024-05-28,2024-05-29,Home,Lamp,South,Bengaluru,Consumer,First Class,7,27875.48,0.05,6754.84
ORD00187,2024-09-09,2024-09-11,Sports,Tennis Racket,North,Chandigarh,Home Office,Same Day,5,11904.38,0.3,460.22
ORD00188,2024-04-05,2024-04-06,Fashion,Jeans,North,Chandigarh,Home Office,First Class,3,11128.12,0.3,-206.39
ORD00189,2024-07-24,2024-07-30,Fashion,Watch,South,Bengaluru,Consumer,Second Class,7,29186.86,0.2,1330.49
ORD00190,2024-05-16,2024-05-19,Home,Lamp,East,Kolkata,Corporate,Standard,1,1451.77,0.05,209.56
ORD00191,2024-09-14,2024-09-20,Fashion,Shoes,South,Bengaluru,Corporate,Standard,2,4867.79,0.05,662.43
ORD00192,2024-11-06,2024-11-09,Fashion,Shoes,South,Bengaluru,Corporate,Same Day,3,7485.82,0.15,1156.91
ORD00193,2024-02-09,2024-02-14,Sports,Cricket Bat,South,Hyderabad,Consumer,Standard,2,5444.86,0.2,657.48
ORD00194,2024-12-14,2024-12-16,Sports,Tennis Racket,South,Hyderabad,Home Office,Same Day,3,2969.34,0.2,203.01
ORD00195,2024-01-30,2024-02-04,Electronics,Keyboard,West,Mumbai,Corporate,First Class,8,6666.66,0.15,642.4
ORD00196,2024-12-24,2024-12-25,Electronics,Monitor,East,Kolkata,Home Office,Standard,4,11903.58,0.0,1960.99
ORD00197,2024-11-26,2024-11-30,Electronics,Monitor,North,Chandigarh,Corporate,Same Day,7,7447.37,0.05,1550.29
ORD00198,2024-10-02,2024-10-06,Books,Comics,West,Mumbai,Home Office,Second Class,3,10010.89,0.1,537.85
ORD00199,2024-07-13,2024-07-20,Home,Mixer,North,Chandigarh,Consumer,Second Class,8,27462.39,0.2,1780.27
ORD00200,2024-01-17,2024-01-24,Books,Biography,South,Chennai,Home Office,Same Day,4,18798.28,0.3,1562.1
ORD00201,2024-12-10,2024-12-16,Sports,Football,South,Bengaluru,Consumer,Second Class,2,1368.61,0.0,231.69
ORD00202,2024-05-28,2024-05-30,Electronics,Monitor,West,Mumbai,Home Office,First Class,4,15284.21,0.0,1651.11
ORD00203,2024-07-30,2024-08-02,Sports,Tennis Racket,East,Kolkata,Corporate,Standard,5,22030.2,0.3,754.54
ORD00204,2024-11-25,2024-12-01,Sports,Tennis Racket,South,Hyderabad,Corporate,First Class,7,20076.58,0.0,5510.18
ORD00205,2024-04-25,2024-04-28,Books,Comics,South,Chennai,Home Office,Second Class,7,7578.33,0.2,566.13
ORD00206,2024-11-27,2024-11-28,Books,Novel,West,Pune,Corporate,First Class,3,6193.23,0.1,437.66
ORD00207,2024-02-07,2024-02-09,Electronics,Keyboard,South,Bengaluru,Home Office,Second Class,5,10052.03,0.2,1011.08
ORD00208,2024-03-01,2024-03-07,Books,Textbook,East,Bhubaneswar,Corporate,Second Class,1,1216.68,0.05,301.03
ORD00209,2024-11-28,2024-12-01,Sports,Cricket Bat,West,Mumbai,Corporate,First Class,6,23534.8,0.15,2312.3
ORD00210,2024-06-12,2024-06-14,Fashion,Watch,West,Pune,Corporate,First Class,2,8107.04,0.3,193.74
ORD00211,2024-10-23,2024-10-29,Books,Novel,South,Hyderabad,Corporate,First Class,3,833.57,0.2,139.17
ORD00212,2024-12-01,2024-12-07,Home,Vacuum,East,Kolkata,Corporate,First Class,7,20544.93,0.05,3181.59
ORD00213,2024-04-04,2024-04-09,Books,Comics,West,Mumbai,Home Office,Standard,6,6074.85,0.3,238.8
ORD00214,2024-11-18,2024-11-20,Sports,Football,North,Lucknow,Consumer,Second Class,1,3868.83,0.15,125.73
ORD00215,2024-09-04,2024-09-10,Electronics,Smartphone,West,Pune,Corporate,Standard,1,3165.61,0.3,369.68
ORD00216,2024-05-26,2024-05-27,Electronics,Keyboard,West,Mumbai,Home Office,Same Day,1,2741.2,0.1,375.95
ORD00217,2024-06-30,2024-07-03,Home,Mixer,North,Lucknow,Corporate,Standard,3,4069.95,0.2,347.13
ORD00218,2024-02-11,2024-02-17,Fashion,Jacket,West,Ahmedabad,Home Office,Standard,4,19812.47,0.05,2278.33
ORD00219,2024-02-12,2024-02-16,Electronics,Monitor,West,Pune,Corporate,First Class,8,3754.81,0.0,828.19
ORD00220,2024-08-31,2024-09-03,Sports,Football,North,Delhi,Consumer,Standard,4,18104.44,0.3,1946.42
ORD00221,2024-12-30,2025-01-06,Fashion,Watch,North,Delhi,Corporate,Standard,6,1650.95,0.05,284.64
ORD00222,2024-03-12,2024-03-19,Fashion,Jeans,South,Hyderabad,Home Office,Standard,7,24148.37,0.2,1119.18
